item_no,item_title,source_pages,source_pdf,test_item,materials,method,domain,domain_code,standard,score_options,ocr_status
11,（11） 抓握竹棒,6,PEP-3使用册(1).pdf,（11） 抓握竹棒,"胶泥球1个及
竹棒6枝","测试员把胶泥压成薄饼状，说：「呢
个系生日蛋糕，等我哋插啲蜡烛上
去。」（这个是生日蛋糕，让我们把蜡
烛插上去。）插上1枝竹棒，给儿童
另1枝竹棒，示意他插上。
若儿童不合作，则将所有竹棒插入，
并指示儿童拔出来。",小肌肉,FM,"2-能利用前二指、指侧*或前三指*插入或拔出
最少1枝竹棒
1-使用整个手掌或多于三指插入或拔出最少1
枝竹棒
0- 未能用手插入或拔出竹棒",2/1/0,OCR草稿，需人工校对
12,（12） 听生日歌假装吹蜡烛,6,PEP-3使用册(1).pdf,（12） 听生日歌假装吹蜡烛,同上,"当竹棒插入「生日蛋糕」后，测试员唱
生日歌及在唱完后假装吹熄蜡烛。
* 观察儿童有否聆听生日歌及模仿假
装吹蜡烛。氺","模仿
（视觉/动作）",VMI,"2- 能聆听生日歌及在唱完后假装吹蜡烛
1- 能聆听生日歌但没有假装吹蜡烛
0- 没有留意测试员唱歌",2/1/0,OCR草稿，需人工校对
13,（13） 享受音乐,6,PEP-3使用册(1).pdf,（13） 享受音乐,胶泥,"观察：
测试员唱生日歌时，观察：
一儿童对「生日 / happy Birthday」题
材/活动有否不恰当的反应或没有
反应？","模仿
（视觉/动作）",VMI,"2- 儿童表现开心，有留心听生日歌或跟着唱
1- 儿童有留意测试员但没有模仿
0- 儿童对音乐/音韵没有兴趣",2/1/0,OCR草稿，需人工校对
14,（14） 搓胶泥条,6,PEP-3使用册(1).pdf,（14） 搓胶泥条,胶泥,"测试员在儿童面前将1块胶泥分成
2份，其中1份给儿童，测试员使用另1
份在桌子上示范搓成长条状，指向儿童
的胶泥，说：「你做俾我睇。」或「跟住
我做。」（你做给我看看；跟着我做。）","模仿
（视觉/动作）",VMI,"2- 能将胶泥搓成长条状
1- 尝试去搓胶泥；或有类似之动作，但无法将
胶泥搓成长条状
0- 未能做出搓的动作",2/1/0,OCR草稿，需人工校对
15,（15） 操控手偶,7,PEP-3使用册(1).pdf,（15） 操控手偶,"手偶：
猫或狗","测试员出示手偶，并说：「呢只系
猫/狗。」（这是只猫/狗。）在儿童
面前将手偶戴上，说：「我系一只猫
猫/ 狗狗（模仿猫叫或狗吠），我而家
嚟锡你。」（我是一只猫猫/ 狗狗，我
现在来亲亲你。）接着手偶模拟亲吻
儿童，但不要触及儿童。
若儿童没有反应，则让手偶假装哭
泣、大笑、轻抚或拍掌，目的是要吸
引儿童参与活动。
将手偶交给儿童，并说：「而家你做
猫猫/狗狗」（现在，你来做猫猫/狗
狗。）指示儿童将手偶戴上，并利用
手指操控手偶的头及肢体。","模仿
（视觉/动作）",VMI,"2-能自行将手偶戴上，并模仿操控手偶的头及
肢体
1- 能把手偶戴上，但没有使用手指操控手偶
0- 未能或没有尝试将手偶戴上",2/1/0,OCR草稿，需人工校对
16,（16） 利用手偶模仿日常动作,7,PEP-3使用册(1).pdf,（16） 利用手偶模仿日常动作,"同上，另加物
件4件（匙子、
杯子、牙刷、
纸巾）","测试员把手偶戴上，用另一只手示范
让手偶使用1件物件。再把该物件交
给儿童，但仍戴着手偶对儿童说：
「你做呀。」（你来做。）
当儿童完成后，测试员收回该物件，
然后出示另1件物件作示范。测试员
重复以上程序测试使用以下物件：
1. 匙子（喂食）
2. 杯子（饮水）
3. 牙刷（刷牙）
4.纸巾（抹鼻子）","模仿
（视觉/动作）",VMI,"2- 能模仿最少3项动作
1- 能模仿最少1项动作
0- 未能模仿任何动作",2/1/0,OCR草稿，需人工校对
17,（17）指出手偶的3个身体部位,7,PEP-3使用册(1).pdf,（17）指出手偶的3个身体部位,"手偶：
猫或狗","测试员将手偶戴上，并移放到儿童可
接触到的位置，要求儿童指出手偶的
身体部位。说：「指住（口、眼、鼻、
耳）呀。」［指着（嘴巴、眼睛、鼻子和
耳朵）呀。］",语言理解,RL,"2- 能指出或触摸最少3个身体部位
1- 能指出或触摸最少1个身体部位：或能概括
地指向其中1个部位（例：当要求指出眼睛
时，会指向面部上方）：或能经常指向同一个
部位（例：无论要求指出甚么部位，仍是指着
眼睛），但需最少正确指出其中1个部位
0- 未能正确指出任何一个身体部位",2/1/0,OCR草稿，需人工校对
18,（18） 指出3个自己的身体部位,8,PEP-3使用册(1).pdf,"（18） 指出3个自己的身体部位
第（19）及（20）项使用同一项目作评估",无,"在没有动作提示下，要求儿童指出自
己的身体部位。说：「指住你个（口、
眼、鼻、耳）呀。」［指着你的（嘴巴、
眼睛、鼻子和耳朵）呀。］",语言理解,RL,"2- 能指出或触摸最少3个身体部位
1- 能指出或触摸最少1个身体部位；或概括地指
出其中1个部位（例：当要求指出眼睛时，会
指向面部上方）；或经常指向同一部位（例：
无论要求指出甚么部位，仍是指着眼睛），但
最少正确指出其中1个部位
0- 不能正确指出任何身体部位",2/1/0,OCR草稿，需人工校对
19,（19） 使用两个手偶演出故事,8,PEP-3使用册(1).pdf,"第（19）及（20）项使用同一项目作评估
（19） 使用两个手偶演出故事","手偶：
猫及狗","把一个手偶交给儿童戴上，测试员则
戴上另一个手偶，说：「我哋玩乜嘢
好？」（我们玩甚么？）鼓励儿童用手偶
与测试员演出故事。
若儿童未能开始任何活动，测试员可让手
偶握手、跳舞、睡觉，或去商店买雪糕。",语言表达,EL,"2-让自己及测试员两只手偶交往，并演出有先
后次序的情节
1- 只能用自己的手偶演出故事，但没有与测试
员之手偶交往；或能自己与测试员的手偶交
往演出故事，但未有让自己的手偶参与其中
0-没有用任何1只手偶演出故事",2/1/0,OCR草稿，需人工校对
20,（20） 与手偶作假想游戏,8,PEP-3使用册(1).pdf,"（20） 与手偶作假想游戏
几何形状拼板
第（21）及（22） 项使用同一项目作评估",同上,在进行第（19）项同时进行观察。,社交互动,SR,"2- 在活动中表现假想力及提出创意的玩法
1- 儿童没有提出新创意的玩法，但能跟随测试
员的活动及提议
0- 未能或没有使用假想活动",2/1/0,OCR草稿，需人工校对
21,（21）指示出3块拼块的正确位置,8,PEP-3使用册(1).pdf,（21）指示出3块拼块的正确位置,"形状拼板（圆
形、正方形、
三角形）及拼块
米图 （②","测试员将拼板放在儿童面前的桌子上，三角形的底边需靠近儿童，将各形状的拼块
放在拼板与儿童之间，但避免放在与其形
状相同的相应位置下。［例子见图（2）］
儿童
口VO
FO0
测试员 水
概括地指向拼板•说：「摆返喺啱嘅窿度
啦！」（把同一形状放入正确的洞中。）
一段时间后，若儿童表现出不明白或有
困难，测试员可以示范放圆形拼块于
正确位置，然后将该拼块重新放回桌子
上，并再次要求儿童将所有形状的拼块
放入拼板的相应位置内。","认知
（语言/语前）",CVP,"2- 无需示范，能将3个形状拼块放在正确位置
上，或即使拼块无法完全放入洞中，也能放
进相若位置，如洞的上方或下方
1- 将最少1个形状拼块放在正确或相若的位置
0- 示范后仍未能将拼块放入，或没有尝试放任
何一个形状拼块于拼板内",2/1/0,OCR草稿，需人工校对
22,（22）完成形状拼板,9,PEP-3使用册(1).pdf,（22）完成形状拼板,同上,在进行第（21）项时同时进行观察。,小肌肉,FM,"2- 无需示范，将3个形状拼块放入正确位置上或
相若位置
1- 最少完成其中1个形状，或需示范才尝试或能
完成此项目
0- 示范后仍未能将拼块放入，或没有尝试将形
状拼块放入拼板内",2/1/0,OCR草稿，需人工校对
23,（23） 说出形状名称,9,PEP-3使用册(1).pdf,（23） 说出形状名称,"形状拼块
（圆形、正方形
及三角形）","测试员把各形状拼块放在桌子上，指
着圆形问：「呢个系乜嘢形？」（这是
甚么形状？）之后，以同样程序测试
正方形及三角形。",语言表达,EL,"2- 能正确地说出3种形状名称
1- 能正确地说出最少1种形状：或以同一个形状
名称指称所有形状，但最少1个是正确的（例
如：把所有形状指称为圆形）
0- 未能正确说出任何形状的名称",2/1/0,OCR草稿，需人工校对
24,（24） 挑选形状,9,PEP-3使用册(1).pdf,"（24） 挑选形状
物件拼板（雨伞、小鸡、蝴蝶、雪梨）",同上,"测试员把各形状拼块放在桌子上，
说：「俾个圆形我。」（把圆形给
我。）
若儿童未能明白，可改为：「指住个
圆形。」（指着圆形。）
或「圆形呢？」（圆形在哪里？）
每次测试后，把儿童交出之形状拼块
放回原位，再以同样程序测试正方形
及三角形。",语言理解,RL,"2- 正确地交出或指出所有形状
1- 正确地交出或指出最少1种形状
0-没有正确地交出或指出任何形状",2/1/0,OCR草稿，需人工校对
25,（25）完成4块物件拼板,9,PEP-3使用册(1).pdf,（25）完成4块物件拼板,"物件拼板（雨
伞、小鸡、蝴
蝶及雪梨）","测试员把拼块和拼板放在儿童面前，
将其中1块拼块交给儿童，并指着拼
板，说：「将呢块放喺拼板度。」（把
这块放入拼板中。）当儿童完成后，
再给予另1块，用同样程序测试余下
的拼块。*留意将各拼块以正面向上
的方式交给儿童。*
之后，若儿童表现出不明白或有困
难，测试员可示范完成4块拼块，然
后将所有拼块取出，并再次指示儿童
完成。","认知
（语言/语前）",CVP,"2- 无需示范，能正确地完成4块拼块
1- 在有示范或无示范下，也能正确放入最少1块
拼块
0- 示范后仍未能或没有放入任何拼块",2/1/0,OCR草稿，需人工校对
26,（26） 跨越中线取拼块,10,PEP-3使用册(1).pdf,"（26） 跨越中线取拼块
大小拼板：手套
第（27）及（28） 项使用同一项目作评估",同上,"测试员把所有拼块取出，但留下拼板
放于儿童面前。把「雨伞」及「小鸡」
拼块放于儿童的左边（拼板旁），而
「蝴蝶」及「雪梨」则在另一边（注意：
摆放拼块时均要正面向上°）见图（3）
指示儿童把拼块放回拼板。
若儿童并未尝试，则于稍后利用其他
材料评核此项目，例如蜡笔或积木。
要注意将该材料放在儿童要跨越中线
位才可以取到的位置上。
*图 （3）
儿童
蝴蝶 鸡 梨 雨伞
雪梨 伞 蝶 小鸡
测试员水",大肌肉,GM,"2- 多于1次跨越中线位拿取拼块
1- 只跨越中线位1次
0- 未能或没有尝试跨越中线位；
*或儿童以转动身躯的动作去取物件来代替以
手部跨越中线*",2/1/0,OCR草稿，需人工校对
27,（27）指示出3块手套拼块的正确位置,10,PEP-3使用册(1).pdf,（27）指示出3块手套拼块的正确位置,手套拼板,"测试员把手套拼板放在儿童面前的
桌子上，手套拼块放于拼板与儿童
之间，并避免把拼块放在与拼块大
小配合之位置下［例子见图（4）］。指
向拼板，说：「将呢几块放返喺拼板
度。」（把这些拼块放入拼板上。），
但不要直接指向任何1个拼板洞。
一段时间后，若儿童表现出不明白
或有困难，测试员可示范完成3块拼
块，然后把所有拼块取出放回桌子
上。再请儿童完成。
*图（4）
儿童
中大小（拼块）
大小中
测试员 米","认知
（语言/语前）",CVP,"2- 无需示范，能指示出3块拼块之正确位置，即
使未能准确放入拼板内，但能将拼块放在正
确的位置附近（上或下）
1- 将最少1块拼块放在正确的位置上，即使未能
准确放入，但能将拼块放在正确的位置附近
（上或下）
0-示范后仍未能将拼块放入，或没有尝试放任
何1块拼块在正确的位置上",2/1/0,OCR草稿，需人工校对
28,（28）完成手套拼板,11,PEP-3使用册(1).pdf,（28）完成手套拼板,同上,在进行第（27）项时同时进行观察,小肌肉,FM,"2- 无需示范，便能将3块拼块准确地放进拼板内
1- 能将最少1块拼块放进拼板内：或需示范才能
完成
0- 示范后仍未能将任何拼块放进拼板内",2/1/0,OCR草稿，需人工校对
29,（29） 说出物件大小,11,PEP-3使用册(1).pdf,（29） 说出物件大小,"手套拼板
最大及最小的
拼块（共2块）","测试员拿走拼板，只留下最大及最小
之拼块在桌子上，把小拼块放在儿童
左边而大拼块则放在右边。并指着拼
块，说：「睇吓，佢哋唔同嘅，点样
唔同呀？」（看，它们是不相同的，
它们有甚么不相同呢？）
测试员拿起大的拼块问：「呢一块系
点呀？」或「呢块系⋯•」（这一块是
⋯…？）如儿童说出拼板的颜色，测
试员说：「系㖞！两块都系红色，但
系佢哋点样唔同呀？佢哋唔系一样
嘅。」（但它们有甚么不同呢？它们
不是一样的。）如儿童说出拼板的形
状，测试员可重复以上的指示。如
儿童仍不能说出大小，测试员可说：
「呢块系大嘅，咁呢块系⋯⋯」（这块
是大的，另一块是⋯⋯）使用同样程
序作第二次测试。",语言表达,EL,"2- 在2次测试中均能正确地说出拼块之大小
1- 在其中1次测试中，能正确地说出最少1块拼
块的大小
0-在任何1次测试中，都没有正确地说出任何1
块拼块的大小",2/1/0,OCR草稿，需人工校对
30,（30）挑选大小物件,11,PEP-3使用册(1).pdf,（30）挑选大小物件,同上,"仍使用第（29）项之拼块，把小拼块
放在儿童的右边而大拼块则放在左
边，说：「俾块细嘅我。」（把小的给
我。）把儿童交出的一块放回原位，
再说：「俾块大嘅我。」（把大的给
我。）
重复整个程序作第二次测试。儿童也
可指出拼块而无需交出，但他的指示
必须清晰。",语言理解,RL,"2-在2次测试中均能正确指出或交出大及小的拼
块
1- 在其中1次测试中，能正确指出或交出最少
1块拼块
0- 在任何1次测试中，都没有正确指出或交出任
何1块拼块",2/1/0,OCR草稿，需人工校对
31,（31） 指示拼块正确的位置,12,PEP-3使用册(1).pdf,"（31） 指示拼块正确的位置
第（31）及（32）项以同一项目作评估",猫拼图,"测试员把拼块零散地放在桌子上（正
面向上），并指示儿童将拼图拼好。
一段时间后，若儿童表现出不明白或
有困难，测试员可示范完成拼图，
然后依上述方法放好，请儿童再作尝","认知
（语言/语前）",CVP,"2- 无需示范，能概括将4块拼图拼在正确位置，
拼图不需要紧扣一起
1- 在有或无示范的情况下，能将最少2块拼图拼
在正确的位置，拼图不需要紧扣一起
0- 示范后仍未能拼好两块拼图",2/1/0,OCR草稿，需人工校对
32,（32） 紧扣4块猫拼图,12,PEP-3使用册(1).pdf,"（32） 紧扣4块猫拼图
6块拼图：牛",同上,在进行第（31）项时同时进行观察。,小肌肉,FM,"2- 无需示范，也能完成拼图，并将各块紧扣一起
1- 在有或无示范的情况下，完成最少2块拼图，
拼图需紧扣在一起
0- 示范后仍未能或没有尝试将各块拼图紧扣一起",2/1/0,OCR草稿，需人工校对
33,（33） 完成6块牛拼图,12,PEP-3使用册(1).pdf,"（33） 完成6块牛拼图
磁石板及男孩磁石拼块",牛拼图,"测试员把拼块（正面向上）零散地放在
儿童面前，说：「呢只系牛。」（这是
一只牛。）指示儿童将拼图拼好。
一段时间后，若儿童表现出不明白或
有困难，测试员可示范完成拼图，然
后请儿童再作尝试。","认知
（语言/语前）",CVP,"2- 无需示范，能正确地完成6块拼图
1- 在有或无示范下能完成最少2块拼图
0- 示范后仍未能完成最少2块拼图",2/1/0,OCR草稿，需人工校对
34,（34）拼出8块的男孩拼图,12,PEP-3使用册(1).pdf,（34）拼出8块的男孩拼图,"磁石板及男孩
磁石拼块（头、
头发、两只眼
睛、鼻、口、
身、脚）","测试员把磁石板及8块磁石拼块放在儿
童面前的桌子上，利用其中1块，示范
如何将磁石块贴在板上，然后将磁石块
取下放回桌子上面，请儿童在磁石板上
拼图。说：「你识唔识砌个男仔呀？」
（你能否拼一个男孩子出来呢？）
一段时间后，若儿童不明白此项目，
测试员用所有的磁石块示范拼出一个
男孩子，然后取走各磁石拼块，并请
儿童再作尝试。
若儿童没有用尽所有磁石块，测试员
可指着余下的磁石块，要求儿童完成
男孩子拼图。若儿童以特别的方式使
用某些磁石块（如以眼睛作钮扣，或
以头发作胡子），便要求儿童解释。","认知
（语言/语前）",CVP,"2- 无需示范，能用8块拼块拼出男孩子
1- 完成部分拼贴（将眼睛贴在脸上，或将头与脚
放在一起）：或需示范后才拼出部分男孩子
0- 未能运用磁石拼块拼出男孩子（例如只将磁石
块叠在一起，或随意将磁石块贴在板上，或
拼出不像男孩子的图形）",2/1/0,OCR草稿，需人工校对
35,（35） 模仿使用3件发声物,13,PEP-3使用册(1).pdf,"（35） 模仿使用3件发声物
实物及图卡","响板、手摇铃、
匙子","测试员在儿童面前摇动响板，吸引他
的注意，然后把响板交给他，指示儿
童摇动响板。
重复以上程序，逐一测试其余的发
声物（即摇动手摇铃、用匙子敲打桌
画）。","认知
（语言/语前）",CVP,"2- 示范后，能使用3件发声物以致发出声响
1- 把玩发声物，但未能正确地模仿使用所有发
声物以致发出声响
0- 没有把玩或使用任何1件发声物",2/1/0,OCR草稿，需人工校对
36,（36） 说出5件物件名称,13,PEP-3使用册(1).pdf,"（36） 说出5件物件名称
* 测试时建议进行次序：
项目39->36->38->37*","袜子、杯子
牙刷、蜡笔
剪刀、梳子
铅笔","测试员拿起每件物件问：「咩嚟㗎？」
（这是甚么？）若儿童不明白，则说：
「呢件/只/支/把系
（这是 。）
稍作停顿让儿童回答。",语言表达,EL,"2- 能正确说出或用手势表示5件物件
1- 能正确说出或用手势表示1至4件物件
0- 未能正确说出或用手势表示任何物件",2/1/0,OCR草稿，需人工校对
37,（37）正确使用4件物件,13,PEP-3使用册(1).pdf,（37）正确使用4件物件,"杯子、匙子、
蜡笔、梳子、
剪刀","测试员把1件物件交给儿童，并说：
「呢个要嚟做乜嘢？你做俾我睇。」
（这个用来做甚么？你做给我看看。）
或「做俾我睇你点用呢样嘢。」（让我
看看你是怎么使用这个东西的。）若
儿童有疑惑，则以其中1件物件作示
范。","模仿
（视觉/动作）",VMI,"2- 能使用任何4件物件
1- 能使用1-3件物件
0- 未能使用任何物件",2/1/0,OCR草稿，需人工校对
38,（38） 在要求下交出3件物件,13,PEP-3使用册(1).pdf,（38） 在要求下交出3件物件,"在（37）项中使
用之物件","测试员先把所有物件放在儿童能看见
及接触到的位置，然后伸出手向儿童
说：「俾只（杯）我。」（给我一只杯
子。）
若儿童没有反应，测试员可指向物
件，并重复上述口语指令。*重复以
上程序测试余下的物件。*",语言理解,RL,"2- 无需手势提示就能交出最少3件物件
1- 在语言指令下能交出1-2件物件；或在手势提
示下交出3件物件
0- 在手势提示下，交出少于3件物件",2/1/0,OCR草稿，需人工校对
39,（39）实物配对图片5对,14,PEP-3使用册(1).pdf,（39）实物配对图片5对,"测试用书、袜
子、杯子、牙
刷、匙子、剪
刀、梳子和铅笔","测试员把（39A）的图片及7件物件放
在桌子上，物件放在图片的旁边，测
试员示范拿起相符的物件放在图片
上，然后把该物件交给儿童，并用手
势指示儿童把物件放在图片上。测试
员需纠正儿童所犯的错误。
取去已完成配对之图片，物件放回原
位，随即放上另1张图片（39B），继
续指示儿童拿起物件及放在图片上，
直至完成（39）项中余下的图片。测试
员需纠正儿童在整个测试中所犯的错
误。","认知
（语言/语前）",CVP,"2- 正确配对5次，儿童无需将物件放准在画像上
1- 正确配对2-4次，儿童无需将物件放准在画像
上
0-正确配对0或1次",2/1/0,OCR草稿，需人工校对
40,（40）明白3个常见物件的名称,14,PEP-3使用册(1).pdf,"（40）明白3个常见物件的名称
M& Ms",无,"在测试过程中，测试员说出3个在当
场环境中儿童能清楚看见的物件名
称，*然后观察儿童的反应。*",语言理解,RL,"2- 能望着或指着该3件物件
1- 能望着或指着其中1-2件物件
0-没有望着或指出其中任何物件",2/1/0,OCR草稿，需人工校对
41,（41） 利用前二指钳法,14,PEP-3使用册(1).pdf,"（41） 利用前二指钳法
杯子及喜爱玩具","小糖果1粒（例
如：M&M朱古
力豆）","测试员把1粒糖果放在自己的手心，
将手掌微曲使糖果不致跌下，请儿童
取出糖果进食并注意儿童钳取糖果的
方法。",小肌肉,FM,"2- 准确地使用前二指尖钳取糖果
1- 用拇指和2只或以上的手指*（或桡侧手指）*
钳取糖果
0-没有使用拇指，只使用掌心及其他手指合力
取出糖果；*或没有尝试钳取糖果*",2/1/0,OCR草稿，需人工校对
42,（42）找寻完全被隐藏的物件,14,PEP-3使用册(1).pdf,（42）找寻完全被隐藏的物件,"杯子及任何儿
童喜爱之小物
件","测试员在儿童面前把他喜爱的小物
件置在倒转了的杯子内。说：「揾番
」（找出_ -），并以手势
指示儿童取出物件。
若儿童未能找出该物件，测试员可拿
起杯子显露物件部分，然后再作测
试。","认知
（语言/语前）",CVP,"2- 能找到完全被隐藏的物件
1- 能找到部分被显露的物件
0- 没有或未能找到物件",2/1/0,OCR草稿，需人工校对
43,（43） 杯下寻物,15,PEP-3使用册(1).pdf,"（43） 杯下寻物
兴
5件物件及布袋","任何儿童喜爱
的食物或物
件，及不透明
杯子3只
第1次测试
儿童
测试员","测试员把3只杯子倒转，排成一行放
在桌子上，吸引儿童注意。
开始第1次测试，把食物/物件藏在
中间的杯子内，缓缓地把它与测试员
右边的杯子调换位置（见图5），然后
指示儿童寻找食物/物件。
若儿童未能明白此项目，则拿起右边
的杯子，出示食物/ 物件，然后将它
放在中间的杯子内，重复以上程序1
次，再指示儿童寻找食物/物件。
接着开始第2次测试，把食物/物件
藏在测试员左边的杯子内，缓缓地与
中间的杯子调换位置（见图5），然后
指示儿童寻找食物/物件。
然后进行第3次测试，把食物/物件
放在右边的杯子内，缓缓地与左边的
杯子调换位置（见图5），然后指示儿
童寻找食物/物件。
图 （5）
第2次测试
儿童
测试员
测试员把藏有各项物件的布袋放在儿童面","认知
（语言/语前）",CVP,"2- 能在3次测试中最少有2次找到食物/物件
1- 能在3次测试中有1次找到食物/物件
0- 未能找到食物/物件
第3次测试
儿童
测试员
2- 能在没有视觉提示下逐一拿出最少4件指定",2/1/0,OCR草稿，需人工校对
44,（44） 触觉辨别4件物件,15,PEP-3使用册(1).pdf,（44） 触觉辨别4件物件,"积木、小球、
匙子、蜡笔及
*钱币*各2
份，将其中1
份放进布袋中","测试员把藏有各项物件的布袋放在儿童面
前。要求儿童伸手入布袋内，并不能偷看布
袋内容，然后拿出测试员说出的物件。例
如：要求儿童不偷看布袋内容而交出匙子。
重复以上程序测试余下的物件，每件被
取出的物件需放回袋内，才提问另一个
新的物件。
若儿童无法交出指定物件，测试员可
手持1件相同的物件作提示，并说出名
称，要求儿童再作尝试。","认知
（语言/语前）",CVP,"2- 能在没有视觉提示下逐一拿出最少4件指定
的物件
1- 能在有或无视觉提示下拿出最少1件指定的
物件
0-没有正确交出任何一件物件",2/1/0,OCR草稿，需人工校对
